authors,study,subjs
"Balestrieri, Ronconi & Melcher ",1,22
"Bellet, Chen & Hafed",1,10
"Bellet, Chen & Hafed",2,14
Benedetto & Morrone,1,8
"Benedetto, Burr & Morrone",1,9
"Benedetto, Spinelli & Morrone",1,5
"Chen, Wang, Wang, Tang & Zhang",1,31
"Chota, Luo, Crouzet, Boyer, Kienitz, Schmid & VanRullen",1,7
"Davidson, Alais, van Boxtel & Tsuchiya ",1,34
"Drewes, Zhu, Wutz & Melcher",1,38
Dugué & VanRullen,1,14
"Dugué, Marque & VanRullen",1,10
"Dugué, McLelland, Lajous & VanRullen",1,14
"Dugué, Roberts & Carrasco",1,9
"Dugué, Xue & Carrasco",1,16
"Fiebelkorn, Foxe, Butler, Mercier, Snyder & Molholm",1,8
"Fiebelkorn, Saalmann & Kastner ",1,14
Gray & Emmanouil,1,36
"Guo, Lu, Goold, Luo & Meng",1,18
"Helfrich, Fiebelkorn, Szczepanski, Lin, Parvizi, Knight & Kastner",1,7
"Helfrich, Fiebelkorn, Szczepanski, Lin, Parvizi, Knight & Kastner",2,8
"Helfrich, Huang, Wilson & Knight",1,18
"Hickok, Farahbod & Saberi",1,5
"Ho, Burr, Alais & Morrone",1,17
"Ho, Burr, Alais & Morrone",1,14
"Ho, Leung, Burr, Alais & Morrone",1,20
Hogendoorn,1,5
Hogendoorn,2,4
Huang & Luo ,1,17
Huang & Luo ,2,19
Huang & Luo ,3,13
"Huang, Chen & Luo",1,18
"Huang, Chen & Luo",2,16
"Huang, Chen & Luo",3,16
Kayser ,1,23
Kayser ,2,23
Kayser ,3,20
Kayser ,4,20
Landau & Fries,1,15
"Lin, Kovbasyuk, Zhang, Chowdhury & Carrasco",1,16
Liu & Luo,1,25
"Lu, Guo & Meng",1,18
"Michel, Dugué & Busch",1,14
Nakayama & Motoyoshi,1,8
"Naue, Rach, Strüber, Huster, Zaehle, Körner & Herrmann",1,13
"Neuling, Rach, Wagner, Wolters & Herrmann",1,16
"Peters, Kaiser, Rahm & Bledkowski",1,28
Pomper & Ansorge,1,15
Ray & Ester,1,11
"Re, Inbar, Richter & Landau",1,22
"Romei, Groß & Thut",1,9
"Romei, Groß & Thut",2,9
Ronconi & Melcher,1,30
Ronconi & Melcher,2,17
"Ronconi, Busch & Melcher",1,29
"Senoussi, Moreland, Busch & Dugué",1,11
"Shima, Murai, Yuasa, Hashimoto & Yotsumoto",1,10
"Song, Meng, Chen, Zhou & Lou",1,49
"Spaak, De Lange & Jensen ",1,19
Tomassini & D'Ausilio,1,7
"Tomassini, Ambrogioni, Medendorp & Maris",1,6
"Tomassini, Ambrogioni, Medendorp & Maris",2,17
"Tomassini, Spinelli, Jacono, Sandini, Concetta Morrone",1,4
"Tomassini, Spinelli, Jacono, Sandini, Concetta Morrone",2,2
"Wang, Huang, Luo & Zhang",1,34
"Wilsch, Neuling, Obleser & Herrmann",1,19
"Wutz, Mutscher, van Koenigsbrunnen, Weisz & Melcher",1,14
"Zhang,  Morrone  &  Alais",1,29
